W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
0,-3,STL,MIN,2017,7,4,0.37,-0.12,0.49,-0.3,-1.8,0.4,-0.6,2.4,1.7,0.7,1.7,-0.119,0.126,0.237,0,3,0,7,-2,-9,3,0.04,0.007,-65,-0.08,-0.5,0.41,-6,-41,5,0,0,1,18,-4,13,-3,7,0,0,0,0.049,4,1,0,1,-0.033,-2,-3,0,1,-0.027,-1,-6,0,2,-0.011
0,-2,NSH,ANA,2017,11,5,-0.22,-0.28,0.06,-0.2,3.8,-0.7,2,-1.6,-0.5,-1.1,3.3,-0.19,0.301,0.067,2,0,-1,4,-10,-4,7,0.022,-0.058,-22,-0.07,-0.08,0,-3,-8,10,1,-3,-3,2,-12,1,1,0,2,0,2,-0.102,0,2,0,1,-0.079,-8,-11,0,4,-0.142,-2,-8,0,5,-0.05
0,-2,NSH,STL,2017,5,3,-0.06,-0.05,-0.01,2.4,3.9,2.6,0,-2.8,-1.7,-1.1,-1.1,-0.096,0.083,0.048,-1,0,2,1,-4,-1,7,-0.022,-0.004,-222,-0.68,-0.69,0.02,6,-38,-20,0,-2,-4,-9,-11,3,7,-3,0,0,1,-0.052,-4,2,0,1,-0.092,-3,-6,0,0,0.007,0,-6,0,-1,0.033
0,-2,NYR,MTL,2017,1,-7,-0.37,-0.22,-0.15,-0.5,1.3,-1,-0.8,0.3,-0.5,0.8,1.9,-0.029,0.017,-0.025,0,-1,0,-1,-2,1,-1,0.083,-0.118,166,0.03,0.51,-0.48,-1,33,4,1,3,3,-7,-5,-17,-8,1,-3,0,1,0.067,-1,-3,0,3,-0.004,-2,7,0,2,-0.191,6,1,0,1,0.129
0,-1,PIT,WSH,2017,7,5,-0.21,-0.63,0.42,0,4,1.5,4,-3.1,-4.8,1.7,2.2,0.03,-0.016,0.118,1,6,-2,2,3,-7,11,0.155,-0.196,47,-0.12,0.26,-0.37,-3,21,3,0,0,-1,13,-28,-27,-13,13,0,0,2,0.032,4,0,0,0,0.004,-7,-3,0,0,-0.113,-5,-2,0,1,-0.15
1,1,OTT,PIT,2017,13,6,0.88,0.23,0.65,6.1,0.1,4.6,-0.8,3.5,2.5,1,-3.4,0.051,-0.022,0.198,-2,-6,14,-6,-2,1,9,-0.125,0.23,-145,-0.41,-0.4,-0.03,-3,-8,-21,0,-2,1,4,9,30,7,3,-1,0,1,0.028,8,-1,0,-1,0.07,7,-4,0,-1,0.269,3,-4,0,1,0.107
1,1,EDM,ANA,2017,2,3,-0.28,-0.12,-0.16,-4.2,4,-4.9,5.4,-1.5,0.1,-1.6,7.7,-0.053,0.242,-0.108,1,0,-2,1,-7,3,4,-0.023,-0.039,196,0.35,0.9,-0.56,-2,64,10,0,1,1,-3,-9,-9,1,5,2,0,1,-0.031,4,0,0,1,-0.014,-5,-6,0,4,-0.135,-5,2,0,4,-0.188
1,2,NSH,PIT,2017,4,1,0.02,-0.14,0.16,2.6,3.9,3.4,4.8,2.2,0.2,2,5,0.081,-0.167,0.065,0,-3,5,-5,3,0,5,-0.074,0.078,-51,0.63,-0.34,0.97,7,-29,-15,0,3,4,25,19,14,6,11,-4,0,-3,0.246,9,-4,0,-5,0.223,7,-8,0,-2,0.363,-3,1,0,-1,-0.104
1,2,NSH,PIT,2017,17,5,0.49,0.11,0.38,4.2,-1.1,3.8,-4.2,2.3,2.5,-0.2,-3.8,-0.114,0.309,0.082,-1,-2,8,-2,-11,1,9,-0.073,0.162,-253,-0.33,-0.75,0.41,1,-32,-23,0,-4,-3,1,-3,24,7,-2,0,0,1,-0.043,4,1,0,0,-0.022,1,-10,0,-1,0.189,4,-11,0,2,0.165
1,2,NYR,OTT,2017,-4,-6,-0.58,-0.07,-0.51,-3.2,-0.1,-2.2,-1.4,0.3,0,0.3,2.6,-0.065,0.31,-0.275,-2,6,-8,-1,-5,6,-7,0.096,-0.145,255,0.85,0.98,-0.12,5,55,17,0,4,1,1,-2,-13,-5,-2,0,0,-1,0.009,2,-2,0,2,0.008,-3,4,0,1,-0.177,0,1,0,0,-0.006
